Simulación,Start Date,End Date,Rendimiento Anual Promedio,Desviación Estándar Anual,Downside Risk,CAGR,Rendimiento Efectivo,Sortino Ratio
120,2011-05-26,2016-05-26,0.10361592882384577,0.15734716007314206,0.11968053401908706,0.09548868083479967,0.5766130769907916,0.5148366802409075
121,2014-06-28,2019-06-28,0.09031436772003977,0.1339586670697035,0.10533002971320145,0.08471613392435451,0.5007218740028461,0.45869509247830703
122,2011-01-09,2016-01-09,0.09520429133340227,0.15529557880362554,0.1192235460892478,0.08666161977303255,0.5137074457939554,0.4462565749686295
123,2012-08-26,2017-08-26,0.11764279272146833,0.12234017386439977,0.09101631292553596,0.11642469096754948,0.7321191616229561,0.8310904967481453
124,2014-05-15,2019-05-15,0.09325967011190385,0.13302544378973563,0.10557424078315378,0.08804937415769021,0.523884864174958,0.4855319795023639
125,2015-05-20,2020-05-20,0.08527986435796403,0.1904405602199037,0.166401484896706,0.06933786409211717,0.3978455539730086,0.26009301770852633
126,2013-03-08,2018-03-08,0.12134448813348801,0.12249745853960596,0.09554703110867767,0.12053193253620509,0.7657331037429214,0.8304233759313729
127,2012-05-27,2017-05-27,0.127246938979084,0.1258868737083471,0.09240625983881137,0.12669933489494745,0.8131069697856701,0.9225234213329734
128,2018-07-13,2023-07-13,0.11922082407334987,0.21737210035200058,0.17653824105126337,0.1001770057700313,0.6099753132384524,0.4374169789701621
129,2010-10-07,2015-10-07,0.12084269290423028,0.15337437792818648,0.11914320966670205,0.11520229699371076,0.7234252586849894,0.6617472630189272
130,2017-06-21,2022-06-21,0.10866508765914701,0.20631804524696173,0.1801367700489162,0.0911557266847638,0.5457277121614426,0.3700803985829438
131,2010-11-11,2015-11-11,0.11927529936459629,0.15347315899407854,0.11862989415440794,0.11344013713865508,0.7098735379205177,0.6513981987037368
132,2016-12-05,2021-12-05,0.16313644354578422,0.19158483507479931,0.17252520023762838,0.15560799560538174,1.0585157486435954,0.7021376783156105
133,2010-08-18,2015-08-18,0.14148544346193825,0.14921232441637694,0.11408141025576696,0.13917389725056584,0.9164654679121969,0.8720565711704912
134,2014-09-21,2019-09-21,0.09062230829514761,0.13661295798443585,0.10790851518704284,0.08465771103668862,0.5003184139484163,0.45058824329913455
135,2010-05-30,2015-05-30,0.14770750310385572,0.15430538250342896,0.11821424973197239,0.14539419824122013,0.9682173225818516,0.8942027153539165
136,2017-11-11,2022-11-11,0.1107713887866242,0.2169261762138243,0.18048541827163467,0.09101733729071837,0.5447493059035156,0.3810357060708455
137,2011-11-09,2016-11-09,0.12219644791419823,0.1336379566698752,0.09475916126657669,0.11990805832410456,0.7600358414573671,0.8463186761287322
138,2014-01-04,2019-01-04,0.07432988852539593,0.13355770926866897,0.10568126581003694,0.06757644419695197,0.38602008700358836,0.3059188237157303
139,2017-04-04,2022-04-04,0.1524876561424382,0.197602489878302,0.17342187863290812,0.14203823271020788,0.9416651021002429,0.6371033286769638
140,2016-06-03,2021-06-03,0.1571054972970861,0.19161939416808518,0.1718135469116429,0.14865483208461727,0.9974228998343342,0.6699442469241405
141,2010-05-16,2015-05-16,0.13736784742611685,0.1565058098705553,0.1201808724277132,0.13322895997300366,0.867055508528624,0.7935359887113402
142,2011-11-22,2016-11-22,0.13250894911555933,0.13259007897406203,0.0940833630072808,0.13166943201280557,0.854264055902209,0.9620080131335773
143,2010-01-12,2015-01-12,0.12899282681964616,0.160421235367314,0.12467605165354542,0.12308405498888142,0.785094490559324,0.6977508965505672
144,2012-02-29,2017-02-28,0.11818696438876278,0.1279772723180018,0.09264227598675792,0.1162466889628051,0.7307420476380608,0.8223779433015307
145,2014-02-13,2019-02-13,0.09068903729240733,0.13296298367001894,0.10502922041149547,0.08526663178581417,0.5045277951579212,0.46357610864526905
146,2015-05-13,2020-05-13,0.0772540304774101,0.18971627235150956,0.1663367667994854,0.060936140717701814,0.3438298321864761,0.2119437040633831
147,2018-06-03,2023-06-03,0.11266375228484171,0.21721799799670727,0.17664134457255096,0.09302610221033913,0.5589998560151024,0.400040842396432
148,2017-09-26,2022-09-26,0.09881635476365981,0.21136028503606466,0.18074090534746579,0.07932666297153546,0.46386629115296807,0.3143524962123714
149,2016-07-31,2021-07-31,0.15965688824078317,0.19076686087877456,0.17083318865303304,0.15177793315020183,1.0246815000987994,0.6887238315251937
150,2015-10-03,2020-10-03,0.12301686028055511,0.19156491879657436,0.17030083936071344,0.11019248440051399,0.6851210787819619,0.4757278976702731
151,2019-07-25,2024-07-25,0.14020590975281477,0.21260398154739418,0.17319243132238762,0.12464833871507808,0.7975411264475294,0.5670334956497619
152,2013-04-15,2018-04-15,0.11539159644776269,0.12521167100587122,0.09772588951421089,0.11350968014933338,0.7111366396284386,0.7509944070357158
153,2017-04-26,2022-04-26,0.13180619604604007,0.19894069102252043,0.17424789075575223,0.118374269953609,0.7488116110091068,0.5153933035087566
154,2011-08-13,2016-08-13,0.13021033252508302,0.14745774582356094,0.10804459972379676,0.1267180398561214,0.8132571183951001,0.8164251869189417
155,2013-06-19,2018-06-19,0.11349269130000303,0.1242979009014639,0.09724887626222216,0.11152502903174222,0.6959537836489949,0.7351518500556234
156,2010-10-14,2015-10-14,0.11798031345726104,0.1534045914400726,0.119055998645355,0.11201106293672236,0.698946073629253,0.6381897117472578
157,2012-10-03,2017-10-03,0.1192524054435235,0.12165828643057254,0.09131754436649239,0.11831448090946206,0.7467936341280998,0.8459755020730727
158,2015-05-14,2020-05-14,0.07740325612435571,0.1897248094751053,0.1663367667994854,0.06109272505269092,0.3448210214840517,0.21284083372278964
159,2017-12-02,2022-12-02,0.1106322195378481,0.2175553255638534,0.18026498706695915,0.09071844586889077,0.5426378480135223,0.3807296172958688
160,2019-01-14,2024-01-14,0.14617644004396102,0.21238455673736312,0.17363063393474099,0.13143212176260977,0.8523237651619517,0.5999888250313922
161,2017-07-07,2022-07-07,0.11687706301274371,0.20703311630203478,0.18030365528703962,0.09998853376492178,0.6092084823361508,0.4152831116681523
162,2019-09-30,2024-09-30,0.15504431110200656,0.2125322250340615,0.17322381011664628,0.1414710981301155,0.9358358470586605,0.6525910671626737
163,2015-01-04,2020-01-04,0.10330107878717584,0.13416494698786627,0.10689271447632276,0.09885555769883325,0.600951295177897,0.5734822909820886
164,2012-12-10,2017-12-10,0.13238982204268135,0.11964408148690404,0.09000740461228694,0.1333721756885553,0.8691621083023644,1.0042487330019312
165,2011-03-23,2016-03-23,0.10270701305039916,0.15718976593579168,0.11973627819506084,0.09452061071706774,0.5696702218214906,0.5070060132610948
166,2010-02-03,2015-02-03,0.13807446960992087,0.16013336446860138,0.1242681167688374,0.13337821019926777,0.8682833684766065,0.7731224396732257
167,2017-05-03,2022-05-03,0.13196293170943893,0.19993414097936946,0.17531263921452,0.118325528340534,0.7484308581873647,0.5131571352328822
168,2017-09-08,2022-09-08,0.11972659814192178,0.20979614711149178,0.17995953747455262,0.10249304389916891,0.6275823577762267,0.43191152429424756
169,2013-07-15,2018-07-15,0.10973346141789787,0.12376410039196496,0.09639464293582044,0.10743027803408922,0.6649688312592867,0.7026683159456778
170,2019-07-19,2024-07-19,0.14584680459298782,0.21231683197013848,0.17316335252421935,0.13107650744245358,0.8494192391115791,0.5997042854576482
171,2012-12-01,2017-12-01,0.13297190404101106,0.11961723280332169,0.09008654440549517,0.1340353693668619,0.8746328692768659,1.0098278787510233
172,2012-04-22,2017-04-22,0.11655865646956744,0.1266353340833313,0.09205872888370292,0.11462161076072963,0.7182100473192825,0.8099031713087936
173,2011-10-10,2016-10-10,0.1285053300908875,0.13814130584415277,0.09952845703180675,0.1263003113061285,0.8107607274180548,0.8691517247498631
174,2012-03-15,2017-03-15,0.11461621572588568,0.12761051371443896,0.09235820886552655,0.11232180928710589,0.7005989243434718,0.7862453875823295
175,2017-07-05,2022-07-05,0.11256953554957345,0.20699033445352766,0.18014979248281998,0.09527204635722208,0.5750572780108241,0.3917269877305206
176,2013-06-28,2018-06-28,0.11284625499842539,0.1237615664708057,0.09649137582828383,0.1108818233166382,0.691056359446101,0.7342237002040832
177,2013-01-03,2018-01-03,0.13117240078670683,0.11852071488429591,0.09011017028699814,0.13214376209096712,0.859062518532794,0.9895930781475105
178,2010-11-21,2015-11-21,0.1232641393916334,0.15357417241762575,0.11857747628010828,0.11787129785027917,0.7441143904764282,0.685325256878196
