Simulación,Start Date,End Date,Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
167,2018-07-05,2023-07-05,XGBoost-CPO,0.25241244884799907,0.2305001238635017,2.1099715127238317,0.17822166239848247,0.2547718729640702,1.1806221870916107
167,2018-07-05,2023-07-05,EqualWeight,0.176239907204564,0.22616840758119347,1.1309086666803068,0.1850042530870358,0.1633809926140215,0.7256044386255835
167,2018-07-05,2023-07-05,MinVar,0.15424516014848635,0.19519178348203894,0.9722676919143789,0.16284125187022108,0.14551623569170968,0.6892919260897227
167,2018-07-05,2023-07-05,MaxSharpe,0.18364752043252552,0.2753113866292128,1.0795393207833262,0.2093221697278478,0.15771626272964934,0.6766962172076176
168,2012-04-03,2017-04-03,SVR-CPO,0.20076534858381215,0.14716729249736665,1.597496864861772,0.1044158715066836,0.21038172502731234,1.520509729918307
168,2012-04-03,2017-04-03,XGBoost-CPO,0.1999595202803298,0.14982249074228113,1.5818911302883079,0.10689374802898986,0.20892362549991716,1.4777245928123948
168,2012-04-03,2017-04-03,EqualWeight,0.18012103481369351,0.1419185866577602,1.3505254877863604,0.10265742643476505,0.18643283181627002,1.3454558487443111
168,2012-04-03,2017-04-03,MinVar,0.1759814444439103,0.12332191040277166,1.331014432483335,0.08440767035355487,0.18445633942309514,1.587313615962955
168,2012-04-03,2017-04-03,MaxSharpe,0.15721209136584294,0.14718275044205026,1.0870169858853225,0.10094592707063751,0.15854777127773323,1.1413248132856573
169,2010-07-17,2015-07-17,SVR-CPO,0.18115884947824704,0.15625681216519074,1.3406045797591633,0.11890319181246058,0.18542947941081955,1.170354196191256
169,2010-07-17,2015-07-17,XGBoost-CPO,0.21289055693662676,0.14181812855728604,1.7757786735328458,0.10468635734977631,0.22656087622422127,1.63240522703116
169,2010-07-17,2015-07-17,EqualWeight,0.21086513577040708,0.1454014253461861,1.740466398278988,0.11127202518498196,0.22342368751568542,1.5175884099321515
169,2010-07-17,2015-07-17,MinVar,0.1599429761772496,0.11596291086056623,1.1625730902145919,0.08552727490747263,0.16681856688542562,1.3790101029741186
169,2010-07-17,2015-07-17,MaxSharpe,0.2798750162523109,0.24494469748775013,2.515717017486243,0.18792514952989994,0.28593119932441424,1.2657966049108487
170,2011-10-30,2016-10-30,SVR-CPO,0.19829604354762562,0.16227731344338056,1.5375444686900614,0.11238416958134559,0.20461850182461983,1.390730065718872
170,2011-10-30,2016-10-30,XGBoost-CPO,0.20465009348254554,0.16592200671929183,1.6119621562696977,0.11820540629339114,0.2115996587202158,1.3759953844990869
170,2011-10-30,2016-10-30,EqualWeight,0.19058222777537184,0.15477052167630903,1.4556204373079722,0.10873484629734707,0.1967411234844858,1.3664637679172125
170,2011-10-30,2016-10-30,MinVar,0.17028977208115398,0.13335251717590996,1.252118321030673,0.09268533305796266,0.17622198423520263,1.3841431847790346
170,2011-10-30,2016-10-30,MaxSharpe,0.3043261854447906,0.1918847939006596,3.2138847863141358,0.13065573459356994,0.33316911465580246,2.0077663354066106
171,2012-04-26,2017-04-26,SVR-CPO,0.1597533305016492,0.15126610502649068,1.1074814683946093,0.1042000570403986,0.1608112763521612,1.1300697316892634
171,2012-04-26,2017-04-26,XGBoost-CPO,0.22475106934978514,0.1546429001729703,1.9139659564557512,0.10342077397411764,0.23853879139037737,1.7670634469968374
171,2012-04-26,2017-04-26,EqualWeight,0.18213674496194612,0.14382196357144775,1.3712684852704737,0.10214085002697766,0.18851977950370213,1.3719950923154927
171,2012-04-26,2017-04-26,MinVar,0.12035854336293406,0.10994747683844852,0.7764588554801122,0.07585973975940373,0.12180627257172993,1.0329397861297114
171,2012-04-26,2017-04-26,MaxSharpe,0.21744193150288774,0.18348027132200206,1.7410186892886164,0.13131671875209844,0.22347300203712273,1.336021286322951
172,2019-07-17,2024-07-17,SVR-CPO,0.1324468874708628,0.22505439971832283,0.7124099589937618,0.18234976204946443,0.11353114703390155,0.4960077076839182
172,2019-07-17,2024-07-17,XGBoost-CPO,0.14673025789694488,0.22582349992913842,0.839193135482486,0.17646890791860267,0.1295455295424317,0.5934771123831759
172,2019-07-17,2024-07-17,EqualWeight,0.16676944118188267,0.21350265411359554,1.0619907455996076,0.16970706539359093,0.15566387769763912,0.7352047535116628
172,2019-07-17,2024-07-17,MinVar,0.09516249829749766,0.20075502454866276,0.45758827515578915,0.1662090267832886,0.07823528153857229,0.3198532554240481
172,2019-07-17,2024-07-17,MaxSharpe,0.1954774955937104,0.22861750646681162,1.34256135273941,0.17563735588490942,0.18551715420915071,0.8738317359678324
173,2014-09-06,2019-09-06,SVR-CPO,0.1620337293554813,0.1436886025182537,1.1461610410094991,0.10871303788202245,0.16504189536830127,1.1041337055243021
173,2014-09-06,2019-09-06,XGBoost-CPO,0.13601974226365376,0.14086576198656242,0.8866260364718956,0.10540958231989947,0.13538908182478182,0.8919468248941584
173,2014-09-06,2019-09-06,EqualWeight,0.14067509423476027,0.13540436811899348,0.9387078688157628,0.10212036364565245,0.14159050341218515,0.9662626601796392
173,2014-09-06,2019-09-06,MinVar,0.1399409286938606,0.12448952120925068,0.9454055219876503,0.09251050597700254,0.14237829399612711,1.0587006055096921
173,2014-09-06,2019-09-06,MaxSharpe,0.162832783842011,0.14015883132990117,1.1602055634291895,0.10495503079289616,0.1665629396356778,1.151281486262872
174,2013-11-13,2018-11-13,SVR-CPO,0.12106426494813308,0.17787947965203676,0.6985239800512424,0.13033114528732975,0.11178455481979599,0.6066413732022914
174,2013-11-13,2018-11-13,XGBoost-CPO,0.16206013323826024,0.16242504736879235,1.1154869528894293,0.12364373975983023,0.16169195215519827,0.9710166763919393
174,2013-11-13,2018-11-13,EqualWeight,0.14557440971381624,0.1542115242948546,0.959897799091463,0.11724950729784274,0.1440755042779489,0.8833675475557575
174,2013-11-13,2018-11-13,MinVar,0.12657497768500794,0.12534108349978337,0.8177124645616658,0.09955333095088992,0.12696945035933127,0.8495444288722909
174,2013-11-13,2018-11-13,MaxSharpe,0.1839838858722478,0.19442090866897455,1.2953455198361414,0.1429694739329089,0.18080856519405586,0.9931063042092214
175,2018-12-01,2023-12-01,SVR-CPO,0.21937478235337504,0.23368287661965767,1.6266948727080428,0.18792366348751893,0.21309108091970952,0.9438661372475611
175,2018-12-01,2023-12-01,XGBoost-CPO,0.1253852324196325,0.26629389265397146,0.569449046727939,0.21979180484507205,0.09434637614643249,0.37938280946557357
175,2018-12-01,2023-12-01,EqualWeight,0.1921565262440336,0.23899639611042783,1.275219283623926,0.1947006612154647,0.17873024735070753,0.7712173410539345
175,2018-12-01,2023-12-01,MinVar,0.15777619144606206,0.19630286233509675,1.0059974738762172,0.1620716115612383,0.14940836867685836,0.7143520714749994
175,2018-12-01,2023-12-01,MaxSharpe,0.15647634842809394,0.2289817569487942,0.9254424493298239,0.1708139441314858,0.14002375130917888,0.670181518318988
176,2012-11-12,2017-11-12,SVR-CPO,0.16043685359679422,0.13081641842579547,1.1480532483099974,0.09533892380516612,0.16524728773471264,1.2422717697005983
176,2012-11-12,2017-11-12,XGBoost-CPO,0.2067585466975168,0.125610016318047,1.7211950913246263,0.08959741307664192,0.2216979368969878,1.8388761576919839
176,2012-11-12,2017-11-12,EqualWeight,0.19281436097949067,0.11960200772919133,1.546149030584246,0.0864925696316869,0.20555735790609986,1.743668405525545
176,2012-11-12,2017-11-12,MinVar,0.15548627272468576,0.11581776648491421,1.114820416737229,0.0838658084754063,0.16161872898460894,1.3531887999143974
176,2012-11-12,2017-11-12,MaxSharpe,0.13859993233361273,0.13651659837328026,0.9171718125433221,0.09419424292895391,0.13904254752875445,1.0255396649503654
177,2013-11-27,2018-11-27,SVR-CPO,0.1741311962768129,0.1482107654189902,1.2719639014787232,0.10279882464527476,0.17839270265642027,1.2853376167748471
177,2013-11-27,2018-11-27,XGBoost-CPO,0.13963052351300625,0.1562757945122449,0.8981495951847778,0.11787131245183752,0.13677289196009035,0.8282806179230277
177,2013-11-27,2018-11-27,EqualWeight,0.17117506604593524,0.1407400641766362,1.2505264384972636,0.10392679822660127,0.1761601754410005,1.2429428044562945
177,2013-11-27,2018-11-27,MinVar,0.16167093046630884,0.12247228778129722,1.171644052467319,0.08909667004053591,0.16779591196063226,1.3431582842755256
177,2013-11-27,2018-11-27,MaxSharpe,0.20189499853702872,0.16497799298661905,1.5785683107777722,0.11256343293794387,0.2086122525939198,1.4204879361237917
178,2010-11-25,2015-11-25,SVR-CPO,0.20154474090327895,0.18414608770144064,1.532232860703847,0.13852286858721752,0.2042364736960749,1.1517574139956936
178,2010-11-25,2015-11-25,XGBoost-CPO,0.2189193763935766,0.17749469726090647,1.7802721832691182,0.1325451021127396,0.2269577920210899,1.3347862242626916
178,2010-11-25,2015-11-25,EqualWeight,0.2214278522175838,0.17127532599034942,1.8311154435623305,0.12757118210720234,0.23141344591791446,1.4064920403951775
178,2010-11-25,2015-11-25,MinVar,0.15559858421157147,0.13075797214757534,1.0964460680194512,0.09482485948666607,0.15959288469202204,1.1979831536427985
178,2010-11-25,2015-11-25,MaxSharpe,0.27137002308657004,0.204381772136173,2.5285248137612464,0.14368616790681518,0.2868668974738071,1.5963263995969565
179,2016-06-22,2021-06-22,SVR-CPO,0.19700063390633615,0.2215759512179033,1.379082593713917,0.1880187872181284,0.1893021687727352,0.8243890740903114
179,2016-06-22,2021-06-22,XGBoost-CPO,0.2140428738289661,0.22293919953325478,1.5890733213633754,0.1878851603370531,0.2095955564697074,0.9156810123818878
179,2016-06-22,2021-06-22,EqualWeight,0.20956053943068623,0.21317951755398595,1.557882160933155,0.18293956390822402,0.2066665541232524,0.9159338518744198
179,2016-06-22,2021-06-22,MinVar,0.20215531258928715,0.18728161155655187,1.5314626364541177,0.15522265079527953,0.2041631967063562,1.0317779767884083
179,2016-06-22,2021-06-22,MaxSharpe,0.19357758785297638,0.20996095232859266,1.3700052835052139,0.16509427994212036,0.1883931075649612,0.918127435463647
180,2016-08-30,2021-08-30,SVR-CPO,0.2248651744178932,0.2169842592689586,1.7539785298199835,0.17929286554785356,0.2246279215602356,1.0199244340209743
180,2016-08-30,2021-08-30,XGBoost-CPO,0.21536096176780886,0.20722408608914494,1.6520000539461805,0.18114244275401845,0.21541979187378923,0.9570421991229497
180,2016-08-30,2021-08-30,EqualWeight,0.22472085695986044,0.20560044341412884,1.7844557845616542,0.17856191187465348,0.22732687227734427,1.0232913337538996
